US_State,Agency,Unit_ID,Unit_Region,Fire_Name,Inc_Num,Date_Reported,Containment_Date,Fire_Comments,GIS_ACRES
CA,CDF,LNU,Sonoma-Lake- Napa,TWENTY_NINE,8431.0,10/18/2012,10/22/12, ,313.99615
CA,CDF,LNU,Sonoma-Lake- Napa,WALKER,6334.0,8/12/2012,8/24/12,Wye and Walker were fought together,5102.5825
CA,CDF,LNU,Sonoma-Lake- Napa,WYE,6335.0,8/12/2012,8/24/12,Wye and Walker were fought together,2831.4229
CA,CDF,LNU,Sonoma-Lake- Napa,AMIGAS,5373.0,7/4/2013,7/4/13,,10.290176
CA,CDF,LNU,Sonoma-Lake- Napa,BECKS,477.0,1/22/2013,1/24/13,,318.59164
CA,CDF,LNU,Sonoma-Lake- Napa,BENNETT,2960.0,5/1/2013,5/1/13,,0.1311737
CA,CDF,LNU,Sonoma-Lake- Napa,BOHAN,8255.0,9/25/2013,9/25/13,,7.9099927
CA,CDF,LNU,Sonoma-Lake- Napa,CANTWELL,9739.0,11/8/2013,11/9/13,,132.29019
CA,CDF,LNU,Sonoma-Lake- Napa,CRANE,8596.0,10/4/2013,10/5/13,,158.94312
CA,CDF,LNU,Sonoma-Lake- Napa,DAM,10263.0,11/23/2013,11/24/13,,22.641083
CA,CDF,LNU,Sonoma-Lake- Napa,DOUBLE,6887.0,8/16/2013,8/17/13,,64.273659
CA,CDF,LNU,Sonoma-Lake- Napa,DUTCHER,3194.0,5/8/2013,5/8/13,,21.446379
CA,CDF,LNU,Sonoma-Lake- Napa,HIGHLAND,8371.0,9/28/2013,9/29/13,,98.822746
CA,CDF,LNU,Sonoma-Lake- Napa,INDIAN,6541.0,8/7/2013,8/8/13,,35.773022
CA,CDF,LNU,Sonoma-Lake- Napa,LAKEVILLE,6147.0,7/26/2013,7/27/13,,177.84431
CA,CDF,LNU,Sonoma-Lake- Napa,MCCABE,10188.0,11/22/2013,11/27/13,,3506.4253
CA,CDF,LNU,Sonoma-Lake- Napa,MOUNT,4769.0,6/20/2013,6/21/13,,35.051228
CA,CDF,LNU,Sonoma-Lake- Napa,PUTAH,8566.0,10/3/2013,10/4/13,,303.92679
CA,CDF,LNU,Sonoma-Lake- Napa,SILVERADO_2,10171.0,11/21/2013,11/23/13,,187.25533
CA,CDF,LNU,Sonoma-Lake- Napa,SODA,2964.0,5/1/2013,5/2/13,,14.157154
CA,CDF,LNU,Sonoma-Lake- Napa,SULPHUR,7152.0,8/24/2013,8/25/13,,19.891602
CA,CDF,LNU,Sonoma-Lake- Napa,SUMMIT,2937.0,4/24/2013,4/24/13,,2.2003992
CA,CDF,LNU,Sonoma-Lake- Napa,YELLOW,2934.0,5/1/2013,5/2/13,,83.760475
CA,CDF,LNU,Sonoma-Lake- Napa,MONTICELLO,5465.0,7/4/2014,7/12/14,,6599.3872
CA,CDF,LNU,Sonoma-Lake- Napa,SARATOGA,7692.0,9/3/2014,9/3/14, ,87.802177
CA,CDF,LNU,Sonoma-Lake- Napa,NORMAN,4594.0,6/12/2014,6/12/14,,68.175415
CA,CDF,LNU,Sonoma-Lake- Napa,BOTTLE,3603.0,4/29/2014,4/29/14, ,20.535751
CA,CDF,LNU,Sonoma-Lake- Napa,PUTAH,4421.0,6/8/2014,6/8/14, ,11.101201
CA,CDF,LNU,Sonoma-Lake- Napa,31,6737.0,8/9/2014,8/9/14, ,367.99008
CA,CDF,LNU,Sonoma-Lake- Napa,SHADY,5080.0,6/24/2014,6/24/14, ,21.581581
CA,CDF,LNU,Sonoma-Lake- Napa,LAKEVIEW,5991.0,7/20/2014,7/20/14, ,24.136517
CA,CDF,LNU,Sonoma-Lake- Napa,ESPARTO,4733.0,6/14/2014,6/16/14, ,28.561516
CA,CDF,LNU,Sonoma-Lake- Napa,BUTTS,5333.0,7/1/2014,7/9/14,FIMT  H6UW,4297.3496
CA,CDF,LNU,Sonoma-Lake- Napa,JERUSALEM ,7410.0,8/9/2015,8/24/15, $25 Million (Cost),25118.377
CA,CDF,LNU,Sonoma-Lake- Napa,GARAGE ,4871.0,6/9/2015,6/10/15,"$100,000 estimate",27.718691
CA,CDF,LNU,Sonoma-Lake- Napa,WRAGG ,6678.0,7/22/2015,8/5/15,"$21,655,000.00 Million (Cost)",8049.3345
CA,CDF,LNU,Sonoma-Lake- Napa,ROCKY  ,6984.0,7/29/2015,8/14/15,"$46,200,000.00 Milion (Cost)",69438.164
CA,CDF,LNU,Sonoma-Lake- Napa,GRADE ,7963.0,8/24/2015,8/25/15,"$100,000 Estimate ",24.591814
CA,CDF,LNU,Sonoma-Lake- Napa,PETERSON ,7900.0,8/22/2015,8/27/15,$1.5 Million (Cost),138.7429
CA,CDF,LNU,Sonoma-Lake- Napa,VALLEY ,8670.0,9/12/2015,10/6/15, $59 Million(Cost),76084.836
CA,CDF,LNU,Sonoma-Lake- Napa,PACHECO,6036.0,9/9/2015,9/13/15,,217.72693
CA,CDF,LNU,Sonoma-Lake- Napa,OAK 2,6650.0,7/22/2016,7/22/16,,58.760162
CA,CDF,LNU,Sonoma-Lake- Napa,CALPINE,5595.0,6/26/2016,6/26/16,,14.541461
CA,CDF,LNU,Sonoma-Lake- Napa,CANYON,7397.0,8/9/2016,8/9/16,,10.932601
CA,CDF,LNU,Sonoma-Lake- Napa,CREEK,5580.0,6/26/2016,6/28/16,,171.11806
CA,CDF,LNU,Sonoma-Lake- Napa,DUNNIGAN,6366.0,7/15/2016,7/15/16,,77.782883
CA,CDF,LNU,Sonoma-Lake- Napa,FOOTHILL,6532.0,7/19/2016,7/19/16,,62.924194
CA,CDF,LNU,Sonoma-Lake- Napa,HILL,4789.0,6/7/2016,6/7/16,,11.074378
CA,CDF,LNU,Sonoma-Lake- Napa,HILLCREST,5164.0,6/17/2016,6/17/16,,17.345282
CA,CDF,LNU,Sonoma-Lake- Napa,KUGELMAN,7396.0,8/9/2016,8/11/16,,62.045834
CA,CDF,LNU,Sonoma-Lake- Napa,MOCKINGBIRD,8168.0,8/30/2016,8/30/16,,19.849892
CA,CDF,LNU,Sonoma-Lake- Napa,NORTH BRANCH,6965.0,7/29/2016,7/29/16,,21.990162
CA,CDF,LNU,Sonoma-Lake- Napa,TWENTY,7787.0,8/21/2016,8/21/16,,10.676426
CA,CDF,LNU,Sonoma-Lake- Napa,SAWMILL,9129.0,9/25/2016,9/28/16,,1546.7014
CA,CDF,LNU,Sonoma-Lake- Napa,RESERVOIR,5586.0,6/26/2016,6/30/16,,152.64656
CA,CDF,LNU,Sonoma-Lake- Napa,COLD,7135.0,8/2/2016,8/9/16,,5730.0747
CA,CDF,LNU,Sonoma-Lake- Napa,CLAYTON,7582.0,8/13/2016,8/16/16,,3928.0295
CA,CDF,LNU,Sonoma-Lake- Napa,KNOXVILLE,7402.0,8/9/2016,8/10/16,,40.804478
CA,CDF,LNU,Sonoma-Lake- Napa,SMITH,6018.0,7/1/2017,7/1/17,,18.198278
CA,CDF,LNU,Sonoma-Lake- Napa,BEAR,5694.0,6/23/2017,6/23/17,,11.683084
CA,CDF,LNU,Sonoma-Lake- Napa,KNOXVILLE,6031.0,7/1/2017,7/1/17,,30.000418
CA,CDF,LNU,Sonoma-Lake- Napa,GEYSERS,4515.0,5/24/2017,5/24/17,,12.651321
CA,CDF,LNU,Sonoma-Lake- Napa,MURPHY,6709.0,7/17/2017,7/17/17,,32.980602
CA,CDF,LNU,Sonoma-Lake- Napa,SITES,6602.0,7/15/2017,7/15/17,,15.628776
CA,CDF,LNU,Sonoma-Lake- Napa,SANDS,6706.0,7/17/2017,7/19/17,,53.443935
CA,CDF,LNU,Sonoma-Lake- Napa,BOTTLE,7582.0,8/8/2017,8/9/17,,61.830296
